point_id,case_id,coolant,material,grid_heat_load_W,grid_mass_flow_kg_s,grid_radiator_area_m2,grid_low_side_pressure_Pa,feasible,category,reason_codes,failed_gates,active_constraint,heat_load_W,modeled_mass_kg,fluid_delta_T_K,pump_power_W,radiator_temperature_K,radiator_area_m2,junction_margin_K,fluid_inventory_kg,containment_mass_kg,inventory_plus_containment_kg,operating_pressure_Pa,parasitic_power_W,min_subcooling_Pa,pareto_front_membership,dominated_reasons
ammonia-aluminum|Q=1200|mdot=0.03|A=2.5|Plo=1.5e+06,ammonia-aluminum,ammonia,aluminum,1200,0.03,2.5,1.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,subcooling margin,1200,20.1961,8.28672,3.63104,304.686,5,64.833,0.0149111,0.00151967,0.0164308,1.5e+06,3.63104,123020,,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|pump_power_vs_delta_T=dominated_on_pump_power_W|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-aluminum|Q=1200|mdot=0.03|A=2.5|Plo=2.5e+06,ammonia-aluminum,ammonia,aluminum,1200,0.03,2.5,2.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,1200,20.1971,8.3126,3.62339,304.685,5,64.8317,0.0149372,0.00250311,0.0174403,2.5e+06,3.62339,1.12252e+06,,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|pump_power_vs_delta_T=dominated_on_pump_power_W|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-aluminum|Q=1200|mdot=0.05|A=1.5|Plo=1.5e+06,ammonia-aluminum,ammonia,aluminum,1200,0.05,1.5,1.5e+06,False,nonconverged,residual_nonconvergence,,none,,,,,,,,,,,,,,,
ammonia-aluminum|Q=1200|mdot=0.05|A=1.5|Plo=2.5e+06,ammonia-aluminum,ammonia,aluminum,1200,0.05,1.5,2.5e+06,False,infeasible_ranked,phase_margin_failure,subcooling_margin,none,,,,,,,,,,,,,,,
ammonia-aluminum|Q=1200|mdot=0.05|A=2.5|Plo=1.5e+06,ammonia-aluminum,ammonia,aluminum,1200,0.05,2.5,1.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,subcooling margin,1200,20.1962,4.99985,15.1201,304.936,5,64.9198,0.0149022,0.00158628,0.0164885,1.5e+06,15.1201,177152,,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|pump_power_vs_delta_T=dominated_on_pump_power_W|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-aluminum|Q=1200|mdot=0.05|A=2.5|Plo=2.5e+06,ammonia-aluminum,ammonia,aluminum,1200,0.05,2.5,2.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,1200,20.1972,5.01549,15.087,304.935,5,64.9194,0.0149284,0.00256968,0.0174981,2.5e+06,15.087,1.17688e+06,,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|pump_power_vs_delta_T=dominated_on_pump_power_W|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-aluminum|Q=1200|mdot=0.08|A=1.5|Plo=1.5e+06,ammonia-aluminum,ammonia,aluminum,1200,0.08,1.5,1.5e+06,False,nonconverged,residual_nonconvergence,,none,,,,,,,,,,,,,,,
ammonia-aluminum|Q=1200|mdot=0.08|A=1.5|Plo=2.5e+06,ammonia-aluminum,ammonia,aluminum,1200,0.08,1.5,2.5e+06,False,infeasible_ranked,phase_margin_failure,subcooling_margin,none,,,,,,,,,,,,,,,
ammonia-aluminum|Q=1200|mdot=0.08|A=2.5|Plo=1.5e+06,ammonia-aluminum,ammonia,aluminum,1200,0.08,2.5,1.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,subcooling margin,1200,20.1963,3.18694,56.5756,305.834,5,64.2311,0.0148685,0.0017344,0.0166029,1.5e+06,56.5756,177553,,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|pump_power_vs_delta_T=dominated_on_pump_power_W|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-aluminum|Q=1200|mdot=0.08|A=2.5|Plo=2.5e+06,ammonia-aluminum,ammonia,aluminum,1200,0.08,2.5,2.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,1200,20.1973,3.19697,56.4452,305.832,5,64.2331,0.0148951,0.00271772,0.0176128,2.5e+06,56.4452,1.17747e+06,,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|pump_power_vs_delta_T=dominated_on_pump_power_W|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-aluminum|Q=1600|mdot=0.03|A=1.5|Plo=1.5e+06,ammonia-aluminum,ammonia,aluminum,1600,0.03,1.5,1.5e+06,False,nonconverged,residual_nonconvergence,,none,,,,,,,,,,,,,,,
ammonia-aluminum|Q=1600|mdot=0.03|A=1.5|Plo=2.5e+06,ammonia-aluminum,ammonia,aluminum,1600,0.03,1.5,2.5e+06,False,infeasible_ranked,phase_margin_failure|junction_limit_failure,subcooling_margin|critical_margin|junction_within_limit,none,,,,,,,,,,,,,,,
ammonia-aluminum|Q=1600|mdot=0.03|A=2.5|Plo=1.5e+06,ammonia-aluminum,ammonia,aluminum,1600,0.03,2.5,1.5e+06,False,infeasible_ranked,phase_margin_failure|junction_limit_failure,subcooling_margin|critical_margin|junction_within_limit,none,,,,,,,,,,,,,,,
ammonia-aluminum|Q=1600|mdot=0.03|A=2.5|Plo=2.5e+06,ammonia-aluminum,ammonia,aluminum,1600,0.03,2.5,2.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,1600,20.1966,10.7377,3.7926,317.688,5,42.3013,0.0144042,0.00250353,0.0169078,2.5e+06,3.7926,471072,inventory_containment_mass_vs_pressure,junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|pump_power_vs_delta_T=dominated_on_pump_power_W|radiator_area_vs_temp=dominated_on_radiator_area_m2
ammonia-aluminum|Q=1600|mdot=0.05|A=1.5|Plo=1.5e+06,ammonia-aluminum,ammonia,aluminum,1600,0.05,1.5,1.5e+06,False,nonconverged,residual_nonconvergence,,none,,,,,,,,,,,,,,,
ammonia-aluminum|Q=1600|mdot=0.05|A=1.5|Plo=2.5e+06,ammonia-aluminum,ammonia,aluminum,1600,0.05,1.5,2.5e+06,False,nonconverged,residual_nonconvergence,,none,,,,,,,,,,,,,,,
ammonia-aluminum|Q=1600|mdot=0.05|A=2.5|Plo=1.5e+06,ammonia-aluminum,ammonia,aluminum,1600,0.05,2.5,1.5e+06,False,nonconverged,residual_nonconvergence,,none,,,,,,,,,,,,,,,
ammonia-aluminum|Q=1600|mdot=0.05|A=2.5|Plo=2.5e+06,ammonia-aluminum,ammonia,aluminum,1600,0.05,2.5,2.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,1600,20.1966,6.46992,15.8146,317.919,5,42.515,0.0143957,0.00257088,0.0169666,2.5e+06,15.8146,569777,,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|pump_power_vs_delta_T=dominated_on_pump_power_W|radiator_area_vs_temp=dominated_on_radiator_area_m2
ammonia-aluminum|Q=1600|mdot=0.08|A=1.5|Plo=1.5e+06,ammonia-aluminum,ammonia,aluminum,1600,0.08,1.5,1.5e+06,False,nonconverged,residual_nonconvergence,,none,,,,,,,,,,,,,,,
ammonia-aluminum|Q=1600|mdot=0.08|A=1.5|Plo=2.5e+06,ammonia-aluminum,ammonia,aluminum,1600,0.08,1.5,2.5e+06,False,nonconverged,residual_nonconvergence,,none,,,,,,,,,,,,,,,
ammonia-aluminum|Q=1600|mdot=0.08|A=2.5|Plo=1.5e+06,ammonia-aluminum,ammonia,aluminum,1600,0.08,2.5,1.5e+06,False,nonconverged,residual_nonconvergence,,none,,,,,,,,,,,,,,,
ammonia-aluminum|Q=1600|mdot=0.08|A=2.5|Plo=2.5e+06,ammonia-aluminum,ammonia,aluminum,1600,0.08,2.5,2.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,1600,20.1968,4.1042,59.2538,318.751,5,41.9606,0.0143626,0.00272089,0.0170835,2.5e+06,59.2538,587735,,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|pump_power_vs_delta_T=dominated_on_pump_power_W|radiator_area_vs_temp=dominated_on_radiator_area_m2
ammonia-copper|Q=800|mdot=0.03|A=1.5|Plo=1.5e+06,ammonia-copper,ammonia,copper,800,0.03,1.5,1.5e+06,False,infeasible_ranked,phase_margin_failure,subcooling_margin,none,,,,,,,,,,,,,,,
ammonia-copper|Q=800|mdot=0.03|A=1.5|Plo=2.5e+06,ammonia-copper,ammonia,copper,800,0.03,1.5,2.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,800,12.6135,5.49237,3.67811,309.255,3,74.0723,0.0147551,0.00250323,0.0172583,2.5e+06,3.67811,994072,pump_power_vs_delta_T,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-copper|Q=800|mdot=0.03|A=2.5|Plo=1.5e+06,ammonia-copper,ammonia,copper,800,0.03,2.5,1.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,800,20.6133,5.68274,3.47885,289.766,5,93.5503,0.0154808,0.00151944,0.0170002,1.5e+06,3.47885,657498,junction_margin_vs_load|pump_power_vs_delta_T,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-copper|Q=800|mdot=0.03|A=2.5|Plo=2.5e+06,ammonia-copper,ammonia,copper,800,0.03,2.5,2.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,800,20.6143,5.69531,3.47369,289.766,5,93.5496,0.0155021,0.00250289,0.018005,2.5e+06,3.47369,1.65733e+06,pump_power_vs_delta_T,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-copper|Q=800|mdot=0.05|A=1.5|Plo=1.5e+06,ammonia-copper,ammonia,copper,800,0.05,1.5,1.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,subcooling margin,800,12.6126,3.31124,15.3692,309.661,3,73.8915,0.0147116,0.00158666,0.0162983,1.5e+06,15.3692,22799.9,inventory_containment_mass_vs_pressure|pump_power_vs_delta_T,junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-copper|Q=800|mdot=0.05|A=1.5|Plo=2.5e+06,ammonia-copper,ammonia,copper,800,0.05,1.5,2.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,800,12.6136,3.32289,15.3315,309.659,3,73.892,0.0147398,0.00257006,0.0173098,2.5e+06,15.3315,1.02261e+06,pump_power_vs_delta_T,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-copper|Q=800|mdot=0.05|A=2.5|Plo=1.5e+06,ammonia-copper,ammonia,copper,800,0.05,2.5,1.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,800,20.6133,3.43782,14.461,290.045,5,93.4998,0.0154714,0.00158549,0.0170569,1.5e+06,14.461,680171,pump_power_vs_delta_T,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-copper|Q=800|mdot=0.05|A=2.5|Plo=2.5e+06,ammonia-copper,ammonia,copper,800,0.05,2.5,2.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,800,20.6143,3.44542,14.4385,290.044,5,93.4998,0.0154928,0.00256893,0.0180617,2.5e+06,14.4385,1.68009e+06,pump_power_vs_delta_T,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-copper|Q=800|mdot=0.08|A=1.5|Plo=1.5e+06,ammonia-copper,ammonia,copper,800,0.08,1.5,1.5e+06,False,infeasible_ranked,phase_margin_failure,subcooling_margin,none,,,,,,,,,,,,,,,
ammonia-copper|Q=800|mdot=0.08|A=1.5|Plo=2.5e+06,ammonia-copper,ammonia,copper,800,0.08,1.5,2.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,800,12.6137,2.13827,57.513,311.11,3,72.5805,0.0146829,0.00271886,0.0174018,2.5e+06,57.513,986720,pump_power_vs_delta_T,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-copper|Q=800|mdot=0.08|A=2.5|Plo=1.5e+06,ammonia-copper,ammonia,copper,800,0.08,2.5,1.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,800,20.6134,2.2117,54.0188,291.04,5,92.6458,0.0154363,0.00173214,0.0171685,1.5e+06,54.0188,670036,pump_power_vs_delta_T,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-copper|Q=800|mdot=0.08|A=2.5|Plo=2.5e+06,ammonia-copper,ammonia,copper,800,0.08,2.5,2.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,800,20.6144,2.21658,53.9294,291.038,5,92.6477,0.0154581,0.00271553,0.0181736,2.5e+06,53.9294,1.67003e+06,pump_power_vs_delta_T,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-copper|Q=1200|mdot=0.03|A=1.5|Plo=1.5e+06,ammonia-copper,ammonia,copper,1200,0.03,1.5,1.5e+06,False,nonconverged,residual_nonconvergence,,none,,,,,,,,,,,,,,,
ammonia-copper|Q=1200|mdot=0.03|A=1.5|Plo=2.5e+06,ammonia-copper,ammonia,copper,1200,0.03,1.5,2.5e+06,False,infeasible_ranked,phase_margin_failure,subcooling_margin,none,,,,,,,,,,,,,,,
ammonia-copper|Q=1200|mdot=0.03|A=2.5|Plo=1.5e+06,ammonia-copper,ammonia,copper,1200,0.03,2.5,1.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,subcooling margin,1200,20.6127,8.28672,3.63104,304.686,5,71.2275,0.0149111,0.00151967,0.0164308,1.5e+06,3.63104,123020,,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|pump_power_vs_delta_T=dominated_on_pump_power_W|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-copper|Q=1200|mdot=0.03|A=2.5|Plo=2.5e+06,ammonia-copper,ammonia,copper,1200,0.03,2.5,2.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,1200,20.6137,8.3126,3.62339,304.685,5,71.2261,0.0149372,0.00250311,0.0174403,2.5e+06,3.62339,1.12252e+06,,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|pump_power_vs_delta_T=dominated_on_pump_power_W|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-copper|Q=1200|mdot=0.05|A=1.5|Plo=1.5e+06,ammonia-copper,ammonia,copper,1200,0.05,1.5,1.5e+06,False,nonconverged,residual_nonconvergence,,none,,,,,,,,,,,,,,,
ammonia-copper|Q=1200|mdot=0.05|A=1.5|Plo=2.5e+06,ammonia-copper,ammonia,copper,1200,0.05,1.5,2.5e+06,False,infeasible_ranked,phase_margin_failure,subcooling_margin,none,,,,,,,,,,,,,,,
ammonia-copper|Q=1200|mdot=0.05|A=2.5|Plo=1.5e+06,ammonia-copper,ammonia,copper,1200,0.05,2.5,1.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,subcooling margin,1200,20.6128,4.99985,15.1201,304.936,5,71.3142,0.0149022,0.00158628,0.0164885,1.5e+06,15.1201,177152,junction_margin_vs_load,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|pump_power_vs_delta_T=dominated_on_pump_power_W|radiator_area_vs_temp=dominated_on_radiator_temperature_K
